Human Question;Direct Response;Task List
Is the man in front of the computer happy;N/A;[{{1. Use the webcam to take a photo and query about the presence of a smiling man.}}]
Describe what you see using the webcam;N/A;[{{1. Use the webcam to take a photo and query about the image.}}]
What you see?;N/A;[{{1. Use the webcam to take a photo and query about the image. }}]
Identify who is in front of the webcam;N/A;[{{1. Use the webcam_identifier too to take a photo and identify the person in front of it.}}]
Describe me;N/A;[{{1. Use the webcam to take a photo and query about the person in front of it.}}]
Describe the first image in my Downloads folder.;N/A;[{{1. List the user downloads folder}},{{2. Identify image files}},{{3. Describe the first image file}}]
Describe what you see on my desktop.;N/A;[{{1. Use the screenshot tool to capture and describe the user's desktop. }}]
What is the size of the Moon?;Direct: The moon has a diameter of about 3.474 kilometers (2.159 miles).;N/A
Hello, who are you?;Direct: Hello, I am Taius the AskAI helpful and kind assistant.;N/A
find . -mxdepth 1 -type f -nme *.png;N/A;[{{1. Execute on terminal: 'find . -maxdepth 1 -type f -name *.png'}}]
What are the current weather conditions in San Francisco, CA today?;N/A;[{{1. Search google for: 'Current weather conditions in San Franciso U.S July 9th 2024.'}}]
List my music;N/A;[{{1. List all music files [*.mp3, *.wav, *.m4a, *.aac, *.ogg]}}]
Summarize the markdown files in my HomeSetup docs folder.;N/A;[{{1. Summarize all *.md files from ${{HOME}}/HomeSetup/docs }}]
Open the first reminder file in my Downloads and tell me what I need to do first.;N/A;[{{1. List the user downloads folder}},{{2. Identify the first reminder file}},{{3. Open the first reminder file if found}},{{4. Identify the first task or action to be taken according to this reminder}}]
list my music library and check if there's any AC/DC song. If found, show the file name and play it.;N/A;[{{1. List the user music folder ${{HOME}}/Music}},{{2. Identify AC/DC song files}},{{3. Display the AC/DC song file names}},{{4. Open any AC/DC song file identified}}]
I have downloaded a QR logo, open it for me.;N/A;[{{1. List the user ${{HOME}}/Downloads folder}},{{2. Identify files containing 'QR' and 'logo'}},{{3. Open the QR logo file if found}}]
Create a thanks note on my behalf and save it as thank-you.;N/A;[{{1. Generate a thanks note and save it as 'thank-you.txt' in the current folder}}]
Find my backup and log files from folder /tmp/logs.;N/A;[{{1. Execute on terminal: 'find /tmp/logs -type f \( -name *.bak -o -name *.log \)}}]
Open the first reminder you find at my downloads and tell me what I must do first.;N/A;[{{1. List the user ${{HOME}}/Downloads folder}},{{2. Identify any reminder file (*reminder*)}},{{3. Open the first reminder file found}},{{4. Identify the first task to be done}}]
Create a small Python program to calculate speed given time and distance, and save it as 'dist.py'.;N/A;[{{1. Generate a program to calculate the speed given the time and distance and save it as 'dist.py'}}]
rm -f /tmp/myfile.txt /tmp/trash.bak;N/A;[{{1. Execute on terminal: 'rm -f /tmp/myfile.txt /tmp/trash.bak'}}]
Who is Hugo Saporetti Junior;N/A;[{{1. Search google for: 'Hugo Saporetti Junior' }}]
Open Hugo Saporetti junior's linkedin page;N/A;[{{1. Search google for: linkedin.com/search/results/people/?keywords=Hugo%20Saporetti%20Junior }}, {{2. Open the URL if found.}}]
Open the official wikipedia website;Direct: Open the URL https://www.wikipedia.org;N/A
Open yorevs github page;Direct: Open the URL https://github.com/yorevs;N/A
Check at flamengo.com what was the score of the Flamengo's match today;N/A;[{{1. Search google for: 'Flamengo Match' final site:'flamengo.com' + score September 27, 2024}}, {{2. Identify the final score of the match if found.}}]
Who is the current Prime Minister of the United Kingdom?;N/A;[{{1. Search google for: 'Who is the United Kingdom prime minister' }}]
What are the latest news headlines today?;N/A;[{{1. Search google for: "Today’s latest news headlines 2024, Sab Francisco, November 13th" }}]
Open the first PDF document in my Documents folder.;N/A;[{{1. List the user documents folder}},{{2. Identify the first PDF file}},{{3. Open the first PDF file if found.}}]
Play the latest movie in my Videos folder.;N/A;[{{1. List the user movies folder}},{{2. Identify the latest movie file}},{{3. Open the latest movie file if found.}}]
Check for updates in my Git repositories.;N/A;[{{1. Execute on terminal: 'git status'}},{{2. Identify the git repository updates.}}]
When is the next Los Angeles Lakers match?;N/A;[{{1. Search google for: ""Los Angeles Lakers agenda 2024, November 13th"". }}]
Tell me who is currently logged into my computer.;N/A;[{{1. Execute on terminal: 'who'}},{{2. Check who is currently logged.}}]
Describe the dragon image in my Downloads folder.;N/A;"[{{1. List the user downloads folder}},{{2. Identify image files with ""dragon"" in their names.}},{{2. Describe the first dragon image file found.}}]"
Tell me who you see using the webcam. Respond as if addressing an audience.;N/A;[{{1. Use the webcam_identifier to capture a photo via the webcam.}},{{2. Identify who is in front of the webcam.}}]
Search my Documents folder for any budget spreadsheets.;N/A;[{{1. Execute on terminal: ""find ${{HOME}}/Documents -type f \( -iname '*budget*.xls' -o -iname '*budget*.xlsx' -o -iname '*budget*.csv' \)""}}]
Adjust my system volume to 50%.;N/A;[{{1. Execute on terminal: 'osascript -e ""set volume output volume 50""'}}]
